Date,Time of crash,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Weather,Pilot Experience,DelayMinutes (in mins),Aircraft Model,Aircraft Age,Investigation Completed,Incident Severity
28-12-1979,0:47:17,London,Military - U.S. Army,F3286,Domestic,Airbus A320,REG21395,CN704,217,4,0,Crash during landing.,Rain,15,30,Boeing 737,18,Yes,Critical
11-10-1989,14:37:17,New York,Military - U.S. Army,F7924,Training,Boeing 747,REG30379,CN320,173,13,2,Crash during takeoff.,Clear,23,60,Cessna 208,20,No,Low
21-03-2011,17:07:59,Delhi,Private - AeroClub,F5803,Training,Airbus A320,REG35203,CN821,36,5,7,Bird strike reported.,Clear,15,60,Boeing 737,13,No,Critical
24-09-2002,5:23:22,London,Commercial - AirFly,F2169,International,Airbus A320,REG42087,CN267,237,48,8,Mid-air collision.,Rain,21,60,Boeing 737,8,Yes,High
28-12-2005,8:04:13,Paris,Commercial - AirFly,F4483,Cargo,Cessna 172,REG94259,CN569,74,33,4,Engine failure mid-air.,Snow,35,10,Antonov An-225,29,No,High
04-09-1989,4:32:31,New York,Private - AeroClub,F2796,International,Wright Flyer,REG99192,CN532,33,49,12,Mid-air collision.,Fog,34,10,Boeing 737,22,Yes,High
08-07-2000,3:18:27,London,Rescue Ops,F1053,Training,Airbus A320,REG33416,CN619,55,80,9,Mid-air collision.,Snow,13,5,Cessna 208,25,Yes,Low
26-09-2023,10:31:01,New York,Commercial - AirFly,F6038,International,F-16 Falcon,REG41571,CN999,291,10,2,Crash during takeoff.,Clear,35,60,Airbus A380,5,No,Medium
12-10-1993,16:55:38,Delhi,Military - U.S. Army,F9835,International,Boeing 747,REG62296,CN787,192,56,16,Crash during takeoff.,Clear,16,5,Boeing 737,11,Yes,Medium
17-10-2022,7:00:04,Sydney,Private - AeroClub,F4750,Domestic,F-16 Falcon,REG53309,CN172,264,30,8,Crash during takeoff.,Rain,35,5,Antonov An-225,8,No,Critical
31-01-1987,3:06:42,Delhi,Commercial - AirFly,F7939,Cargo,Cessna 172,REG17100,CN789,51,7,12,Bird strike reported.,Clear,16,5,Airbus A380,18,No,Medium
07-11-2007,5:17:29,London,Private - AeroClub,F8260,Domestic,F-16 Falcon,REG95477,CN653,8,11,7,Engine failure mid-air.,Fog,32,15,Airbus A380,28,No,Low
08-10-1984,12:00:24,Tokyo,Rescue Ops,F5673,Cargo,Airbus A320,REG96752,CN835,250,19,6,Bird strike reported.,Rain,4,30,Boeing 737,24,No,Low
02-07-1974,18:30:32,Paris,Military - U.S. Army,F1931,Domestic,Wright Flyer,REG18981,CN709,35,86,7,Crash during takeoff.,Clear,37,5,Boeing 737,20,Yes,Critical
13-05-2022,18:33:20,Tokyo,Military - U.S. Army,F6147,International,Boeing 747,REG61876,CN234,154,58,10,Crash during landing.,Clear,30,30,Boeing 737,3,Yes,High
19-11-1981,11:56:04,London,Commercial - AirFly,F5669,International,Cessna 172,REG81200,CN820,155,78,20,Mid-air collision.,Clear,36,10,Boeing 737,29,Yes,High
10-05-1980,3:47:35,London,Commercial - AirFly,F5616,International,Boeing 747,REG36685,CN803,136,64,15,Bird strike reported.,Clear,6,45,Antonov An-225,27,No,Low
27-04-1970,10:49:08,Sydney,Commercial - AirFly,F3647,Cargo,Airbus A320,REG66057,CN674,5,14,2,Engine failure mid-air.,Snow,3,60,Cessna 208,19,Yes,Critical
08-06-1981,1:19:23,New York,Commercial - AirFly,F4441,International,F-16 Falcon,REG56357,CN898,287,52,19,Engine failure mid-air.,Rain,11,60,Airbus A380,29,No,Low
03-02-1986,23:59:21,Delhi,Military - U.S. Army,F5371,International,F-16 Falcon,REG60140,CN993,20,60,7,Engine failure mid-air.,Fog,23,10,Airbus A380,8,Yes,Medium
30-09-2005,10:17:55,New York,Commercial - AirFly,F6753,Cargo,Airbus A320,REG53404,CN128,60,33,5,Mid-air collision.,Storm,3,0,Antonov An-225,12,No,Critical
19-11-2015,3:24:57,Paris,Military - U.S. Army,F5173,Domestic,Cessna 172,REG10221,CN632,276,87,6,Bird strike reported.,Fog,5,45,Cessna 208,20,No,Low
10-12-1996,16:19:42,Delhi,Commercial - AirFly,F7592,Training,Airbus A320,REG26683,CN296,216,85,12,Engine failure mid-air.,Snow,37,10,Antonov An-225,18,Yes,High
